Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,OI,QryIndex
20220704,1243,2,2,1,1,0,14198,14198,14197,14197,3,,643
20220704,1244,2,2,1,4,0,14197,14200,14197,14200,6,,644
20220704,1245,3,4,4,5,0,14196,14196,14194,14195,9,,645
20220704,1246,2,5,0,0,0,14197,14197,14197,14197,5,,646
20220704,1247,8,9,0,0,0,14198,14199,14198,14199,9,,647
20220704,1248,16,33,2,2,0,14199,14201,14199,14201,35,,648
20220704,1249,6,8,3,6,0,14201,14201,14197,14197,14,,649
20220704,1250,9,15,13,43,0,14197,14197,14192,14194,58,,650
20220704,1251,21,44,10,18,0,14194,14196,14191,14196,62,,651
20220704,1252,6,8,1,1,0,14196,14196,14195,14196,9,,652
20220704,1253,4,12,0,0,0,14196,14197,14196,14197,12,,653
20220704,1254,26,57,2,3,0,14198,14205,14198,14205,60,,654
20220704,1255,11,22,9,11,0,14205,14208,14205,14207,33,,655
20220704,1256,3,7,8,8,0,14206,14207,14203,14206,15,,656
20220704,1257,0,0,8,23,0,14206,14206,14204,14204,23,,657
20220704,1258,9,13,6,7,0,14204,14208,14204,14207,20,,658
20220704,1259,0,0,4,17,0,14207,14207,14206,14206,17,,659
20220704,1300,6,7,9,10,0,14205,14205,14201,14204,17,,660
20220704,1301,9,19,4,15,0,14204,14205,14202,14204,34,,661
20220704,1302,0,0,7,11,0,14203,14203,14201,14201,11,,662
20220704,1303,7,7,3,3,0,14202,14205,14202,14205,10,,663
20220704,1304,5,9,0,0,0,14205,14205,14205,14205,9,,664
20220704,1305,5,10,5,8,0,14206,14207,14205,14205,18,,665
20220704,1306,8,9,4,5,0,14204,14208,14204,14208,14,,666
20220704,1307,0,0,5,16,0,14206,14206,14203,14203,16,,667
20220704,1308,9,17,3,3,0,14204,14207,14204,14207,20,,668
20220704,1309,18,56,4,8,0,14208,14213,14208,14213,64,,669
20220704,1310,5,5,14,22,0,14213,14213,14208,14208,27,,670
20220704,1311,4,5,8,12,0,14208,14210,14207,14207,17,,671
20220704,1312,4,7,4,11,0,14207,14208,14207,14207,18,,672
20220704,1313,4,4,10,11,0,14206,14206,14202,14205,15,,673
20220704,1314,2,3,2,2,0,14208,14208,14207,14208,5,,674
20220704,1315,9,15,6,10,0,14209,14212,14209,14211,25,,675
20220704,1316,7,22,7,8,0,14210,14211,14208,14211,30,,676
20220704,1317,0,0,6,8,0,14210,14210,14208,14208,8,,677
20220704,1318,6,17,4,5,0,14207,14211,14207,14209,22,,678
20220704,1319,1,1,4,8,0,14208,14209,14206,14206,9,,679
20220704,1320,10,12,5,12,0,14205,14206,14204,14206,24,,680
20220704,1321,9,17,2,2,0,14206,14207,14204,14205,19,,681
20220704,1322,3,5,9,18,0,14204,14204,14201,14203,23,,682
20220704,1323,10,10,15,44,0,14202,14204,14199,14202,54,,683
20220704,1324,5,13,6,10,0,14201,14203,14201,14203,23,,684
20220704,1325,2,7,3,3,0,14202,14204,14202,14203,10,,685
20220704,1326,6,11,3,4,0,14204,14205,14203,14205,15,,686
20220704,1327,1,3,6,12,0,14204,14204,14202,14203,15,,687
20220704,1328,7,12,3,3,0,14201,14204,14200,14204,15,,688
20220704,1329,12,17,15,37,0,14203,14203,14197,14200,54,,689
20220704,1330,3,3,4,10,0,14200,14201,14200,14201,13,,690
20220704,1331,7,7,13,33,0,14203,14204,14199,14199,40,,691
20220704,1332,17,46,6,6,0,14201,14201,14198,14200,52,,692
20220704,1333,6,13,9,9,0,14198,14200,14197,14199,22,,693
20220704,1334,2,2,20,53,0,14198,14198,14193,14193,55,,694
20220704,1335,15,22,25,44,0,14193,14195,14191,14195,66,,695
20220704,1336,9,19,6,9,0,14194,14197,14194,14196,28,,696
20220704,1337,5,11,12,14,0,14195,14197,14194,14196,25,,697
20220704,1338,7,12,10,29,0,14196,14199,14196,14198,41,,698
20220704,1339,7,8,7,11,0,14198,14199,14196,14196,19,,699
20220704,1340,5,9,12,16,0,14196,14197,14195,14196,25,,700
20220704,1341,9,13,33,106,0,14196,14197,14188,14188,119,,701
20220704,1342,29,50,64,112,0,14188,14191,14185,14186,162,,702
20220704,1343,6,19,23,34,0,14186,14188,14185,14186,53,,703
20220704,1344,47,148,59,191,0,14186,14186,14178,14183,339,,704
20220704,1345,24,30,17,28,0,14182,14187,14182,14183,58,,705
20220704,1346,17,29,46,59,0,14182,14186,14180,14183,88,,706
20220704,1347,20,49,17,26,0,14185,14191,14184,14188,75,,707
20220704,1348,17,25,17,22,0,14187,14188,14184,14186,47,,708
20220704,1349,10,17,8,19,0,14186,14190,14186,14187,36,,709
20220704,1350,2,2,18,43,0,14187,14187,14183,14183,45,,710
20220704,1351,13,36,16,39,0,14183,14185,14181,14183,75,,711
20220704,1352,6,13,14,27,0,14183,14184,14181,14182,40,,712
20220704,1353,34,53,54,123,0,14181,14182,14175,14178,176,,713
