Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,QryIndex
20220519,0,42262,86472,45291,96351,0,16195,16217,15820,15911,182823,331
20220520,0,50340,104164,48805,97093,0,15897,16145,15748,16135,201257,332
20220523,0,51689,101867,54263,110800,0,16127,16263,15852,16147,212667,333
20220524,0,40561,80185,43092,88837,0,16185,16242,15914,15926,169022,334
20220525,0,45043,95129,43957,90085,0,15905,16146,15834,16060,185214,335
20220526,0,46724,94002,49558,101445,0,16073,16203,15928,15950,195447,336
20220527,0,38271,81223,34956,71476,0,15950,16245,15944,16230,152699,337
20220530,0,34111,69781,31932,64961,0,16250,16584,16225,16560,134742,338
20220531,0,31340,68836,30723,65011,0,16560,16716,16460,16682,133847,339
20220601,0,38182,77723,40470,84446,0,16645,16755,16550,16610,162169,340
20220602,0,35850,72475,38134,77853,0,16623,16668,16465,16532,150328,341
